transaction_id,account_id,timestamp,amount,log_amount,zscore_log_amount,was_outlier,amount_silver,is_treated,amount_is_imputed,amount_group_imputed,hour,dayofweek,acc_past_mean,log_acc_past_mean,amount_knn_imputed_z,amount_knn_imputed_brl
TRX_100097,ACC_001,2026-01-02 00:15:00,401.4695990736305,5.997619563754215,1.120546348291778,0,401.4695990736305,0,0,401.4695990736305,0,4,401.4695990736305,5.997619563754215,1.1138799283870051,401.46959907363043
TRX_100102,ACC_001,2026-01-02 01:30:00,,,0.1102524442842665,0,,1,1,207.62768475841813,1,4,401.4695990736305,5.997619563754215,0.7770116506730937,301.0730560700523
TRX_100133,ACC_001,2026-01-02 09:15:00,498.8518473214915,6.214311749158069,1.376839977120158,0,498.8518473214915,0,0,498.8518473214915,9,4,401.4695990736305,5.997619563754215,1.3682676381976824,498.8518473214917
TRX_100139,ACC_001,2026-01-02 10:45:00,29.957373826299836,3.432611220391788,-1.9132284741376775,0,29.957373826299836,0,0,29.957373826299836,10,4,450.16072319756097,6.111823646744012,-1.8973343288191598,29.95737382629984
TRX_100185,ACC_001,2026-01-02 22:15:00,199.88209891009856,5.302718163371499,0.2986486815619755,0,199.88209891009856,0,0,199.88209891009856,22,4,310.09294007380726,5.740091710215706,0.29809427622731494,199.88209891009865
TRX_100223,ACC_001,2026-01-03 07:45:00,164.30902341603428,5.107816591455881,0.0681279960212743,0,164.30902341603428,0,0,164.30902341603428,7,5,282.5402297828801,5.647354017096437,0.06928785007165737,164.30902341603434
TRX_100264,ACC_001,2026-01-03 18:00:00,439.58568258543175,6.088104938573424,1.227568320612053,0,439.58568258543175,0,0,439.58568258543175,18,5,258.8939885095109,5.560273811366517,1.2201060353816777,439.5856825854319
TRX_100280,ACC_001,2026-01-03 22:00:00,198.37703663642512,5.295197688591262,0.2897538071651577,0,198.37703663642512,0,0,198.37703663642512,22,5,289.00927085549773,5.669912890936772,0.2892655482671077,198.3770366364252
TRX_100414,ACC_001,2026-01-05 07:30:00,29.427828043907063,3.415357585873755,-1.9336352857301853,0,29.427828043907063,0,0,29.427828043907063,7,0,276.06180882420165,5.624240617845546,-1.91758938583828,29.42782804390706
TRX_100466,ACC_001,2026-01-05 20:30:00,303.7623378368441,5.719532252650476,0.791637366359306,0,303.7623378368441,0,0,303.7623378368441,20,0,245.2325612266648,5.506276460190886,0.7874168671222617,303.7623378368442
